Human	Worm	Type	OMAGroup
22982	3565539	n:1	961182
23560	176863	1:1	1240377
91734	176142	n:1	
HUMAN00037	176142	n:1	
22884	175774	1:1	1205127
5214	180583	n:1	1206392
2665	178402	n:1	
84991	178091	1:1	
5209	172147	n:m	
5209	177363	n:m	820511
5588	176825	1:1	
22944	173005	1:1	714853
509	177038	1:1	1177657
83860	181704	1:1	
10659	173401	n:1	
79746	3564942	1:1	893485
26019	177397	1:1	1216490
55526	179674	1:1	1250564
55176	178407	n:1	
11164	189126	1:1	1143983
57118	176989	n:1	
55388	176562	1:1	
5264	178503	1:1	708241
22929	189912	n:1	
8559	177840	1:1	1243651
9397	175861	1:1	
8516	176240	n:1	
6251	175451	1:1	964228
8029	179729	1:1	964549
8027	172264	n:1	961652
221079	176392	n:1	
84898	175518	1:1	1154078
10529	185685	n:1	
64215	176241	1:1	967841
5305	175344	n:1	
56952	173323	n:1	
2572	176713	n:1	
23590	172190	1:1	1236442
10006	175789	n:1	
HUMAN00670	172229	1:1	
22931	175272	1:1	961467
143098	190302	n:1	1195772
3799	176179	n:1	
3688	175504	1:1	964975
HUMAN00836	CAEEL09313	1:1	1214899
219771	176188	n:1	714399
8325	178768	n:1	900331
9790	178851	1:1	761662
HUMAN00929	177527	n:1	809338
100287932	173041	1:1	1219641
26095	188965	1:1	
2662	177719	1:1	
5599	177460	n:1	
1103	24105307	1:1	918630
6572	24105312	1:1	
55753	177235	n:1	
5592	176991	1:1	
7019	177543	1:1	
983	176374	1:1	
29119	179624	n:1	
26091	171700	n:1	
64081	188042	1:m	954593
64081	188043	1:m	
64081	188042	1:m	
64081	188043	1:m	
64081	24104785	1:m	
1763	CAEEL05948	1:1	855126
6832	CAEEL11645	1:1	808331
6865	192055	n:m	966765
6865	183595	n:m	
1305	185112	n:1	
56681	177217	n:1	953175
55222	178213	1:1	
140766	181022	n:m	
140766	181412	n:m	
8879	176857	1:1	
5092	188368	1:1	922953
219699	177334	n:1	
64072	176085	1:1	
HUMAN01568	177651	1:1	
HUMAN01581	182817	1:1	779954
HUMAN01604	178040	n:1	961115
10367	178287	1:1	
90550	177362	1:1	697989
5033	176569	n:m	
5033	178170	n:m	
23234	174451	1:1	1193890
51021	3565469	1:1	961732
5532	177943	n:1	
9632	178078	n:1	770533
23053	177915	1:1	
8509	177675	n:1	886823
818	177921	n:1	
7414	177482	1:1	1215668
26985	186194	1:1	1221328
132	178028	1:1	
HUMAN01770	180847	1:1	
HUMAN01786	180524	1:1	673829
7417	177524	n:1	
118881	189789	1:m	
118881	178684	1:m	
118881	189785	1:m	
118881	189563	1:m	
84858	176265	1:1	
3778	180203	1:1	964318
11128	177491	1:1	1247541
6229	176858	1:1	1162981
10105	180028	1:1	
143244	174367	n:m	
143244	176373	n:m	
311	176446	n:1	675267
4143	177354	n:m	
4143	177355	n:m	
4143	177389	n:m	
4143	181370	n:m	
84293	174555	1:1	
81619	177890	n:1	
387694	177933	n:1	681325
27069	176892	1:1	841408
2746	178130	n:1	1238198
9060	177893	n:1	1212194
84896	177896	1:1	
142910	178563	n:m	
142910	178572	n:m	
142910	179046	n:m	
142910	CAEEL14391	n:m	
142910	185840	n:m	
142910	179771	n:m	
8513	178563	n:m	
8513	178572	n:m	
8513	179046	n:m	
8513	CAEEL14391	n:m	
8513	185840	n:m	
8513	179771	n:m	
643414	178563	n:m	
643414	178572	n:m	
643414	179046	n:m	
643414	CAEEL14391	n:m	
643414	185840	n:m	
643414	179771	n:m	
643418	178563	n:m	
643418	178572	n:m	
643418	179046	n:m	
643418	CAEEL14391	n:m	1149517
643418	185840	n:m	
643418	179771	n:m	
340654	178563	n:m	
340654	178572	n:m	
340654	179046	n:m	
340654	CAEEL14391	n:m	
340654	185840	n:m	
340654	179771	n:m	
9023	185268	1:1	
3988	178563	n:m	
3988	178572	n:m	1149512
3988	179046	n:m	
3988	CAEEL14391	n:m	
3988	185840	n:m	
3988	179771	n:m	
9044	174965	1:1	
3416	CAEEL04935	1:m	
3416	178966	1:m	937091
3416	182128	1:m	
3416	CAEEL14177	1:m	
3416	190566	1:m	
3087	171689	1:1	
54536	181131	n:1	1196437
26509	172659	n:1	
118924	7040127	1:1	896115
51196	181274	1:1	1219975
64318	178874	1:1	1241378
5832	181417	1:1	1248719
7093	CAEEL20699	n:1	
56889	176983	1:1	698602
6585	181562	n:1	1182858
23223	266878	1:1	719374
51013	176532	1:1	
84287	183426	1:1	
55361	179839	n:1	858073
84795	177147	1:1	1209908
2805	181726	1:1	1175571
81894	174752	n:1	917333
57089	177567	n:m	
57089	180860	n:m	
51076	176186	1:1	
1355	174712	1:1	1241986
1369	177940	n:1	758595
10613	178178	n:1	
55280	179000	1:1	961016
282991	177395	1:1	714900
9033	178424	n:1	
6319	178122	n:m	879881
6319	179100	n:m	
6319	180162	n:m	
4714	175038	1:1	1235772
84545	182876	1:1	1242109
56652	180845	1:1	
81855	181807	n:m	
81855	174708	n:m	
81855	183547	n:m	
81855	181353	n:m	
8945	174058	n:1	
10724	181164	1:1	665560
9221	266845	1:1	962259
8729	176609	1:1	697148
10121	175162	n:1	
403	175121	1:1	953183
118980	181054	1:1	1204108
22978	CAEEL18434	n:1	1175934
729020	176043	n:1	
6877	172552	1:1	960976
22984	175906	1:1	961105
9148	181767	n:1	1231957
9748	181488	n:1	962048
9446	13190517	n:m	
9446	353420	n:m	
9446	184405	n:m	
119391	13190517	n:m	
119391	353420	n:m	
119391	184405	n:m	
7511	172118	1:1	1249422
120	180760	n:1	
10285	175281	1:1	
9126	CAEEL08933	1:1	960930
8036	177286	1:1	962616
51703	171643	n:1	
64429	178158	1:1	
143187	178397	1:1	839249
55088	176674	1:1	962650
3983	181227	n:1	
26033	CAEEL20456	n:1	
6571	180837	n:1	
8661	176094	1:1	
10935	175573	1:1	
2869	181212	n:1	962225
7073	173967	n:m	961831
7073	174909	n:m	
55717	172144	1:1	
11101	172800	1:1	
36	172351	1:m	662652
36	172358	1:m	
36	172367	1:m	
9184	175018	1:1	1221797
4942	175908	1:1	1192320
64077	179661	1:1	1211393
HUMAN03300	177233	n:1	
399818	177233	n:1	1229324
1793	177942	n:1	1173121
10539	178828	1:1	1244398
55844	172826	n:1	
282974	176456	n:1	961789
3632	180871	1:1	1147035
1892	173300	1:m	
1892	176376	1:m	893481
92170	175306	1:1	
60626	177048	n:1	
5719	174715	1:1	
3265	178104	n:1	967114
64787	178411	n:1	1242424
