Mouse	Human	type	OMAGroup
21337	6865	1:1	966765
69784	387882	1:1	1152235
73910	93663	1:1	966583
77976	9891	1:1	967858
216197	10970	1:1	972680
12461	10576	1:1	847239
216198	255394	1:1	718698
327826	10818	1:1	1236719
64050	8089	1:1	1187868
70428	55703	1:1	1185728
17105	4069	n:1	943682
17110	4069	n:1	
16773	3908	1:1	962885
432508	11052	1:1	962309
71137	5992	1:1	344110
70574	1368	1:1	
237422	55188	1:1	1224445
103266	90488	1:1	1221422
74238	80298	1:1	926195
12952	1407	1:1	663845
15275	3098	1:1	1141008
17246	4193	1:1	763669
215436	55508	1:1	859536
19272	HUMAN86448	1:1	968855
216019	80201	1:1	1141047
338359	6832	1:1	808331
210757	387357	1:1	1140868
74007	121551	1:1	909550
30930	9559	1:1	696593
19073	5552	1:1	1192587
103468	57122	1:1	1235035
67719	352999	1:1	1202150
103136	11137	1:1	699505
215449	5908	1:1	961429
67412	387104	1:m	964700
67412	387104	1:m	
72320	26128	1:1	842269
212448	9729	1:1	1163807
56200	9188	1:1	961827
72843	11108	1:1	343441
67341	121549	1:1	871686
94213	79009	1:1	963692
28088	51493	1:1	1243754
52665	55862	1:1	893506
216021	219736	1:1	1224231
270757	254240	1:1	1153257
68031	81847	1:1	1191987
69754	25793	1:1	1220334
72780	84870	1:1	1184931
66311	387103	1:1	1202636
27204	8224	1:1	964536
21859	7078	1:1	1243541
17245	56890	1:1	1212714
67500	55749	1:1	963889
50929	50616	n:1	1173890
73681	60487	1:1	1218356
116849	50616	n:1	
15978	3458	1:1	1176061
66847	135114	1:1	906375
MOUSE00200	80312	1:1	1229815
69181	8445	1:1	964401
73132	8034	1:1	917335
22027	7184	1:1	1191284
71902	55832	1:1	1247001
327762	1763	1:1	855126
MOUSE00215	51559	n:1	1175935
103466	51559	n:1	
192188	55576	1:1	975385
211329	135112	1:1	842298
70432	55680	1:1	965098
76640	374470	1:1	906423
15214	23493	1:1	958736
17172	429	1:1	915698
69692	51020	1:1	1203347
432467	3189	1:1	963260
18478	5053	1:1	1200468
21987	7164	1:1	1233674
432450	154215	1:1	1191461
16000	3479	1:1	1230098
110312	5367	1:1	915640
MOUSE00277	64081	1:1	954593
75317	55010	1:1	1186050
53404	220202	1:1	954501
76757	10345	1:1	969315
69736	79023	1:1	899072
68802	84665	1:1	969242
215890	134829	1:1	1132804
67282	51019	1:1	964106
212892	345895	1:1	1200040
71712	55332	1:1	1140438
67345	26091	1:1	698929
432486	79158	1:1	1202409
72580	221302	1:1	868203
93759	23411	1:1	1188660
66521	51389	1:1	1202204
692132	100128327	1:1	1233018
30045	HUMAN01326	1:1	949727
270711	221301	1:1	1159839
MOUSE00338	9616	n:1	
103511	254228	1:1	415749
215900	441168	1:1	1237343
212898	29940	1:1	412242
22110	64591	1:m	
22110	728403	1:m	
22110	728137	1:m	
22110	7258	1:m	
22110	728137	1:m	
216033	29119	1:1	1215676
216028	347731	1:1	974317
212862	56994	1:1	
20962	50511	1:1	1177123
28193	221035	1:1	1162119
319638	221294	1:1	1175937
72480	23270	1:1	899171
12813	1300	1:1	962448
109272	4604	1:1	969150
14302	2444	1:1	965118
100041585	262	n:1	
20728	121599	1:1	1219367
319415	222537	1:1	886828
104303	400	1:1	953179
108829	221037	1:1	948448
15182	3066	1:1	1193054
641340	29982	1:1	1221298
17118	4082	1:1	
215919	442247	1:1	
13654	1959	1:1	970880
211488	84890	1:1	670066
216049	22891	1:m	1154872
216049	HUMAN01306	1:m	
70683	27340	1:1	1240876
16775	3910	1:1	1156972
216225	160728	1:1	1196670
66337	619208	1:1	413520
71924	51175	1:1	674822
170799	219790	1:1	1176187
327743	8838	1:1	1185385
71371	84159	1:1	342524
73287	219621	1:1	1199323
74053	23426	1:1	1217913
327766	219623	1:1	1162755
320091	121601	1:1	752427
117599	92797	1:1	1186031
73914	11213	1:1	969526
237436	283431	1:1	1204142
68212	HUMAN14070	1:m	
68212	51643	1:m	841407
69288	9886	1:1	969575
66225	84298	1:1	1240345
14360	2534	1:1	965547
15364	8091	1:1	864447
20186	9971	1:1	928565
103213	10758	1:1	1215517
12534	983	1:1	961033
216227	246213	1:1	962113
320183	253827	1:1	1220080
213326	55681	1:1	1242667
380664	23592	1:1	1223126
67019	64431	1:1	767166
19714	5980	1:1	824454
24117	11197	1:1	968423
213332	91749	n:1	964715
74694	23329	1:m	969240
74694	23329	1:m	
75089	23074	1:1	1237658
75612	2799	1:1	775701
192678	HUMAN14022	1:1	1160085
215929	91749	n:1	
72472	117247	1:1	961818
56480	29110	1:1	967241
73192	11260	1:1	752800
67239	84154	1:1	795360
216393	115749	1:1	1219807
270802	144577	1:1	1191757
67371	112495	1:1	
11702	262	n:1	1133758
117600	57522	1:1	969186
216395	10329	1:1	1200551
78334	23097	1:1	964125
54140	552	1:1	348544
70840	85413	1:1	962769
319468	57460	1:1	1231227
70503	8528	1:1	863099
327747	728464	1:1	712586
71713	51362	1:1	961082
83767	8936	1:1	
140741	2830	1:1	947956
103199	HUMAN86063	1:1	1168819
MOUSE00602	221264	1:1	719369
268294	9841	1:1	970673
67074	23041	1:1	872973
11783	317	1:1	778590
67454	121457	1:1	1193488
171580	64780	1:1	937492
18674	5250	1:1	917341
14479	9958	1:1	962358
20598	6610	1:1	793956
73075	285755	1:1	966616
268354	338811	1:1	1199123
53599	8763	1:1	
20503	9194	1:1	
320398	121227	1:1	963511
21917	7112	1:1	723673
68876	91419	1:1	1238435
52468	10106	1:1	813121
103268	285753	1:1	1196573
11567	10677	1:1	961717
17997	121441	1:1	962418
66399	10102	1:1	1232885
140742	27244	1:1	790625
100504608	25895	1:1	887323
17299	4234	1:1	1239663
13115	1594	1:1	
216438	92979	1:1	1197741
213402	84071	1:1	1162914
380654	144535	1:1	923595
56484	2309	1:1	676937
12567	1019	1:1	
67125	6302	1:1	
215951	246269	1:1	1238032
237459	5128	1:1	965368
54198	8724	1:1	861699
13713	2004	1:1	827533
21907	7101	1:1	928557
216439	116986	1:1	696973
16993	4048	1:1	806340
14628	28962	1:1	1239040
216440	10956	1:1	671127
140740	11231	1:1	1250263
15109	3034	1:1	1241266
71761	144193	1:1	1240467
14421	2583	1:1	1162676
237465	120935	1:1	1215203
268297	256380	1:1	946141
69878	6636	1:1	1164604
109205	55084	1:1	968630
57764	59277	1:1	973134
327799	84101	1:1	962954
71365	57107	1:1	1236452
331623	57673	1:1	1180223
66449	51025	n:1	
67851	51250	1:1	1217922
12484	100133941	1:1	900779
76563	55278	1:1	863330
52666	115557	1:1	964888
170728	84816	1:1	728756
80904	196403	1:1	808824
117150	79837	1:1	719797
11630	202	1:1	1225883
56307	10988	1:1	1249434
11793	9474	1:1	945537
16572	3798	1:1	963003
12142	639	1:1	964621
69654	10540	1:1	1224686
19072	5550	1:1	955136
78977	64208	1:1	694044
23828	11149	1:1	694043
110962	114785	1:1	965895
380669	389421	1:1	
13198	1649	1:1	362542
215008	55591	1:1	1208268
13998	55785	1:1	1206547
216443	4141	1:1	1236081
216445	64333	1:1	968524
22025	7181	1:1	928562
66414	55967	1:1	1217694
14632	2735	1:1	
16326	83729	1:1	1211609
16325	3626	1:1	1211612
319880	57458	1:1	1218628
14806	2898	1:1	940618
77048	51134	1:1	967116
54712	10154	1:1	1181706
77987	10973	1:1	1183787
12905	8738	1:1	
20464	6492	1:1	1239478
216233	8835	1:1	1207149
67270	28977	1:1	865292
93765	7334	1:1	828832
71207	11163	1:m	1166942
71207	440672	1:m	
216238	8411	1:1	961302
MOUSE00942	10632	n:m	
MOUSE00942	267020	n:m	
77296	221303	1:1	1218303
12226	694	1:1	699194
210198	222545	1:1	343252
13179	1634	1:1	970743
17022	4060	1:1	973068
16545	11081	1:1	973227
13516	1833	1:1	809975
66716	196477	1:1	954990
320995	222546	1:1	1147069
215031	245806	1:1	
67972	490	1:1	707421
382406	282809	1:1	962790
14426	100528030	1:m	
14426	8693	1:m	1131612
67603	1848	1:1	1168468
76551	8030	1:1	962396
66859	220963	1:1	968273
71750	22864	1:1	342763
19886	6098	1:1	1224462
17311	4254	1:1	1167047
237611	246329	1:1	966894
407790	56901	1:1	924619
66686	285761	1:1	719022
71721	220965	1:1	962952
108037	6472	1:1	1246359
104080	11247	1:1	1155625
94221	57120	1:1	1213105
52014	116150	1:1	671072
70911	84457	1:1	408995
237500	160418	1:1	962593
215085	222553	1:1	1143087
100038725	387119	1:1	924711
18821	5350	1:1	339087
16971	4035	1:1	969834
20852	HUMAN13630	1:1	936456
83675	80114	1:1	1240338
71567	254394	1:1	912421
17937	4665	1:1	1142684
66403	25842	1:1	1239640
216274	80184	1:1	962989
210035	23306	1:1	1234515
68281	91298	1:1	1200464
75906	79632	1:1	962915
432516	4640	1:1	966938
21780	7019	1:1	964763
21334	6866	1:1	1223858
320080	9880	1:1	762993
11536	11318	1:1	1159785
216080	7321	1:1	828846
107605	8608	n:1	
MOUSE01142	8608	n:1	729140
52637	55847	1:1	789113
103142	8608	n:1	
19683	8608	n:1	
17155	4121	1:1	825576
216453	8608	n:1	
216454	8608	n:1	
54150	8608	n:1	
70061	121214	1:1	
69718	253430	1:1	
27400	8630	1:1	728932
544696	221322	1:1	1210360
14609	2697	1:1	349759
MOUSE01184	160419	1:1	1160097
52696	11130	1:1	1134023
19075	5557	1:1	1197343
17938	4666	1:1	979447
15500	3298	1:1	346376
56351	10728	1:1	1218377
56442	57515	1:1	1246183
67569	25834	1:1	673070
11947	506	1:1	
67405	4922	1:1	1171503
237504	9182	1:1	1241488
216285	8092	1:1	1196253
18768	5570	1:1	1220294
74978	84125	1:1	721146
12140	2173	1:1	
57319	10924	1:1	833914
103098	55117	1:1	951600
278279	160335	1:1	963379
70297	9648	1:1	963753
MOUSE01269	84190	1:1	1202672
52713	29080	1:1	965608
MOUSE01274	11176	1:1	1139000
110829	3987	1:1	970060
56516	5939	1:1	965722
76138	165055	1:1	1181985
13608	10913	1:1	1152853
327814	8499	1:1	966162
237353	344558	1:1	966427
216456	27165	1:1	1169052
380660	79611	1:1	961066
66701	283377	1:1	357575
17339	4284	1:1	1148910
103080	151011	1:1	770378
268301	65124	1:1	970859
108030	8825	1:1	1217686
17877	4617	1:1	1231982
17878	4618	1:1	1221849
237523	374462	1:1	963308
628870	HUMAN14470	1:1	341798
18451	5033	1:1	
69836	84647	1:1	826737
18302	170392	1:1	968265
215999	90550	1:1	697989
17931	4659	1:1	963447
114774	5074	1:1	
76142	81706	1:1	1149457
70337	389434	1:1	1159014
20979	6857	1:1	962018
216001	10367	1:1	917354
260315	89795	1:1	964964
213783	57480	1:1	1194579
56709	HUMAN01604	1:1	961115
74747	54541	1:1	1197692
MOUSE01358	119504	1:1	944907
69090	HUMAN01581	1:1	779954
52679	144455	1:1	1197117
21853	8914	1:1	1242151
94214	9806	1:1	1148557
103161	319	1:1	1161544
53374	9469	1:1	1138367
13008	1466	1:1	
MOUSE01392	6773	1:1	
83430	51561	1:1	1197279
270685	25902	1:1	1229016
320150	23390	1:1	961192
83397	9590	1:1	966863
381990	57621	1:1	1170598
66084	55005	1:1	1148265
237542	114882	1:1	1210395
71769	79738	1:1	1182894
73419	79624	1:1	944057
100504234	80129	1:1	1177032
103135	9924	1:1	808606
13982	2099	1:1	928546
56530	HUMAN13502	1:m	
